"TABLE_NAME","COLUMN_NAME"
"NicheApplication","ApplicantAddressNo"
"NicheApplication","ApplicantAddressLine1"
"NicheApplication","ApplicantAddressLine2"
"NicheApplication","ApplicantAddressCity"
"NicheApplication","ApplicantAddressState"
"NicheApplication","ApplicantAddressCountry"
"NicheApplication","NomineeAddressNo"
"NicheApplication","NomineeAddressLine1"
"NicheApplication","NomineeAddressLine2"
"NicheApplication","NomineeAddressCity"
"NicheApplication","NomineeAddressState"
"NicheApplication","NomineeAddressCountry"
"NicheApplication","NomineeAddressNo2"
"NicheApplication","NomineeAddressLine12"
"NicheApplication","NomineeAddressLine22"
"NicheApplication","NomineeAddressCity2"
"NicheApplication","NomineeAddressState2"
"NicheApplication","NomineeAddressCountry2"
"WakeRoomBooking","ApplicantAddressNo"
"WakeRoomBooking","ApplicantAddressLine1"
"WakeRoomBooking","ApplicantAddressLine2"
"WakeRoomBooking","ApplicantAddressCity"
"WakeRoomBooking","ApplicantAddressState"
"WakeRoomBooking","ApplicantAddressCountry"
